Day,State_ID,State,Lat,Long_,Active,Incident_Rate,Total_Test_Results,Case_Fatality_Ratio,Testing_Rate,Resident_Population_2020_Census,Population_Density_2020_Census,Density_Rank_2020_Census,SexRatio,Confirmed,Deaths,Recovered
2,1,Alabama,32.3182,-86.9023,162449,7535.061394,1891468,1.318688457,38576.31315,5024279,99.2,29,94,True,False,False
2,2,Alaska,61.3707,-152.4044,40421,6534.252848,1290349,0.449781385,176386.8251,733391,1.3,52,109,True,True,False
2,3,Arizona,33.7298,-111.4312,452222,7407.212013,5218721,1.680608365,39916.14181,7151502,62.9,35,99,True,True,True
2,4,Arkansas,34.9697,-92.3731,24012,7669.219075,2079788,1.611202807,68917.26567,3011524,57.9,36,96,True,True,True
2,5,California,36.1162,-119.6816,2362015,6045.10913,33391442,1.111214846,84509.14544,39538223,253.7,13,99,True,True,False
2,6,Colorado,39.0598,-105.3111,316043,5889.695239,4474747,1.448232755,77703.63149,5773714,55.7,39,101,True,True,True
2,7,Connecticut,41.5978,-72.7554,174221,5332.530032,4383361,3.207973911,122945.5301,3605944,744.7,6,95,True,True,False
2,8,Delaware,39.3185,-75.5071,39092,6045.920778,991318,1.579671496,101802.6955,989948,508,8,94,True,True,False
2,9,District of Columbia,38.8974,-77.0268,7715,4181.231571,911378,2.683926938,129136.2793,689545,11280,1,96,True,True,True
2,10,Florida,27.7663,-81.6868,1332943,6308.080782,15950750,1.615697285,74266.43692,21538187,401.4,10,96,True,True,False
2,11,Georgia,33.0406,-83.6431,674162,6452.808747,5436988,1.599715087,51208.16982,10711908,185.6,19,95,True,True,False
2,12,Hawaii,21.0943,-157.4983,9934,1566.596415,822805,1.302916911,58112.95089,1455271,226.6,15,101,True,False,False
2,13,Idaho,44.2405,-114.4788,82102,7957.12523,545485,1.018291268,30524.07159,1839106,22.3,46,101,True,True,False
2,15,Indiana,39.8494,-86.2583,167279,7769.949254,5769273,1.607753924,85696.45462,6785528,189.4,18,97,True,True,True
2,17,Kansas,38.5266,-96.7265,222830,7905.567337,1012506,1.246993235,34754.44116,2937880,35.9,43,99,True,True,False
2,18,Kentucky,37.6681,-84.6701,233999,6132.275124,3210804,0.984779355,71867.48001,4505836,114.1,25,97,True,True,True
2,19,Louisiana,31.1695,-91.8678,44075,6781.866437,4214182,2.375069384,90651.08069,4657757,107.8,28,96,False,False,False
2,20,Maine,44.6939,-69.3819,13449,1878.051974,1112457,1.418102595,82759.04396,1362359,44.2,40,96,True,True,True
2,21,Maryland,39.0639,-76.8021,267830,4683.856903,5807666,2.107207306,96063.07314,6177224,636.1,7,94,True,True,True
2,22,Massachusetts,42.2302,-71.5301,110007,5573.89674,11046093,3.254195288,160262.433,7029917,901.2,5,94,True,True,False
2,23,Michigan,43.3266,-84.5361,161204,5388.291832,8122575,2.472678078,81332.6455,10077331,178,20,97,True,True,True
2,24,Minnesota,45.6945,-93.9002,14197,7408.852209,5387936,1.301001359,95537.01376,5706494,71.7,32,99,True,True,True
2,25,Mississippi,32.7416,-89.6787,48174,7401.410346,1347935,2.197233483,45291.24718,2961279,63.1,34,94,True,True,False
2,26,Missouri,38.4561,-92.2884,404588,6685.292276,3679665,1.393353725,59954.51189,6154913,89.5,30,96,True,True,False
2,27,Montana,46.9219,-110.4544,4999,7667.073985,792779,1.184955579,74176.20872,1084225,7.4,50,101,True,True,True
2,28,Nebraska,41.1254,-98.2681,56888,8698.371802,1766104,0.991905481,91299.45699,1961504,25.5,45,100,True,True,True
2,29,Nevada,38.3135,-117.0554,225723,7482.315831,2111559,1.365922236,68553.63819,3104614,28.3,44,101,True,True,False
2,30,New Hampshire,43.4525,-71.5639,6490,3324.677082,1032929,1.701101624,75966.80471,1377529,153.8,23,98,True,True,True
2,31,New Jersey,40.2989,-74.521,412610,5498.328678,7798225,3.928767415,87796.19666,9288994,1263,2,95,True,True,True
2,32,New Mexico,34.8405,-106.2485,75272,6933.278775,1995329,1.743030286,95159.3573,2117522,17.5,47,98,True,True,True
2,33,New York,42.1657,-74.9481,869564,5200.410352,25706759,3.78316933,132144.2331,20201249,428.7,9,94,True,True,True
2,34,North Carolina,35.6301,-79.8064,148057,5324.490155,7079384,1.234158911,67499.30683,10439388,214.7,17,95,True,True,False
2,35,North Dakota,47.5289,-99.784,1999,12189.42816,1290077,1.41025503,169287.6695,779094,11.3,49,105,True,True,True
2,36,Ohio,40.3888,-82.7649,132015,6114.012199,7819008,1.261695908,66891.44588,11799448,288.8,12,96,True,True,True
2,37,Oklahoma,35.5653,-96.9289,33687,7481.85923,2690373,0.853557616,67990.71815,3959353,57.7,37,98,True,True,True
2,38,Oregon,44.572,-122.0709,108986,2758.540895,2652670,1.282359817,62893.20553,4237256,44.1,41,98,True,True,False
2,39,Pennsylvania,40.5908,-77.2098,190870,5159.979438,7675010,2.449211299,30829.58437,13002700,290.6,11,96,True,True,True
2,40,Rhode Island,41.6809,-71.5118,80791,8302.080216,1974498,2.020489147,186385.7552,1097379,1061.4,3,95,False,True,False
